
3,870,635,10948,930,2612,28726
1,14,1501,13769,935,9691,25816
5,288,1192,14279,252,7965,3512
6,836,1910,14968,552,5042,22342
7,464,1962,10071,229,4189,24798
4,345,1570,12905,725,6836,27778
2,513,1341,13168,996,8795,23932
1,680,2244,12024,56,3870,11434
7,482,1644,10326,468,3601,25472
9,28,2907,13599,132,9815,6463
2,124,1714,14277,394,7763,28644
6,260,2995,13498,450,6181,1116
3,193,427,11996,940,6218,18283
5,766,47,11081,189,4692,19731
7,486,2754,12343,874,9339,11067
1,779,947,12657,117,9106,23088
1,121,1719,13761,831,2023,28840
4,121,1718,10193,34,2437,17727
6,450,2270,12376,97,8985,7958
6,530,2576,10051,469,3097,20884
7,643,2417,10122,673,296,18003
8,775,1623,11411,898,4792,24152
1,619,91,10889,347,5368,4006
8,590,340,11660,594,4698,19897
3,213,296,10310,303,1109,6649
9,823,1923,14492,578,4979,8859
5,550,2161,10638,215,1571,8145
7,813,1439,11589,108,5213,19656
6,6,2365,12469,680,2993,18110
4,645,1765,10692,294,6247,6660
4,359,2573,13768,165,3916,7357
2,677,2960,11357,564,1909,20795
2,101,2116,14244,861,6838,25174
1,290,420,13805,103,3492,5283
4,661,2014,12228,122,6954,8806
1,252,889,13048,265,5957,12937
